,feature,type
0,全新,1
1,设计,1
2,空间,1
3,车型,1
4,动力,1
5,外观,1
6,可以,1
7,配置,1
8,非常,1
9,不错,1
10,采用,1
11,发动机,1
12,没有,1
13,内饰,1
14,比较,1
15,时尚,1
16,表现,1
17,造型,1
18,安全,1
19,喜欢,1
20,拥有,1
21,销量,1
22,操控,1
23,提升,1
24,提供,1
25,自动,1
26,更加,1
27,大气,1
28,舒适,1
29,动感,1
30,配备,1
31,特别,1
32,年轻,1
33,线条,1
34,满意,1
35,智能,1
36,真的,1
37,品质,1
38,不是,1
39,实用,1
40,一直,1
41,性能,1
42,性价比,1
43,现在,1
44,十分,1
45,满足,1
46,能够,1
47,绝对,1
48,优势,1
49,新车,1
50,加速,1
51,舒服,1
52,感受,1
53,舒适性,1
54,不少,1
55,确实,1
56,增加,1
57,完全,1
58,达到,1
59,高速,1
60,明显,1
61,做工,1
62,辅助,1
63,完美,1
64,效果,1
65,轻松,1
66,值得,1
67,外观设计,1
68,领先,1
69,宽敞,1
70,新一代,1
71,足够,1
72,豪华,1
73,亮点,1
74,最新,1
75,更是,1
76,质感,1
77,增长,1
78,控制,1
79,实力,1
80,有效,1
81,省油,1
82,很大,1
83,安全性,1
84,稳重,1
85,享受,1
86,稳定,1
87,吸引,1
88,装饰,1
89,凭借,1
90,出色,1
91,漂亮,1
92,精致,1
93,强劲,1
94,经典,1
95,口碑,1
96,颜值,1
97,符合,1
98,简单,1
99,良好,1
100,更为,1
101,精准,1
102,流畅,1
103,贴心,1
104,真皮,1
105,充分,1
106,工艺,1
107,好看,1
108,有着,1
109,操控性,1
110,犀利,1
111,最高,1
112,沉稳,1
113,个性,1
114,人性化,1
115,得到,1
116,操作,1
117,具有,1
118,优点,1
119,自然,1
120,气质,1
121,值得一提的是,1
122,得益于,1
123,简洁,1
124,加长,1
125,立体,1
126,霸气,1
127,全面,1
128,冠军,1
129,简约,1
130,不用,1
131,最好,1
132,超过,1
133,多功能,1
134,强大,1
135,氛围,1
136,经济性,1
137,保证,1
138,延续,1
139,营造,1
140,视野,1
141,降低,1
142,魅力,1
143,灵活,1
144,高效,1
145,宽大,1
146,哈哈,1
147,先进,1
148,高端,1
149,稳定性,1
150,够用,1
151,视觉,1
152,审美,1
153,喜爱,1
154,家人,1
155,突出,1
156,优秀,1
157,实用性,1
158,档次,1
159,进一步,1
160,很漂亮,1
161,彰显,1
162,驾驭,1
163,运动感,1
164,硬朗,1
165,创新,1
166,超越,1
167,爱车,1
168,神车,1
169,成功,1
170,具备,1
171,提高,1
172,最佳,1
173,环保,1
174,充满,1
175,突破,1
176,多年,1
177,省心,1
178,独特,1
179,青睐,1
180,百年,1
181,座舱,1
182,相信,1
183,优雅,1
184,期待,1
185,耐看,1
186,激情,1
187,成熟,1
188,第一,1
189,高性能,1
190,扎实,1
191,担当,1
192,腰线,1
193,一键,1
194,系列,1
195,一体,1
196,充沛,1
197,效率,1
198,充足,1
199,兼顾,1
200,展现,1
201,舒适度,1
202,特色,1
203,顺畅,1
204,无疑,1
205,恒温,1
206,超高,1
207,推荐,1
208,大幅,1
209,灵敏,1
210,老婆,1
211,诚意,1
212,竞争力,1
213,可靠,1
214,耐用,1
215,平顺,1
216,超大,1
217,认可,1
218,小巧,1
219,视觉效果,1
220,到位,1
221,自由,1
222,惊喜,1
223,给力,1
224,细腻,1
225,厚道,1
226,惬意,1
227,杠杠,1
228,清晰,1
229,便捷,1
230,澎湃,1
231,代步,1
232,高配,1
233,优异,1
234,帅气,1
235,满怀敬畏的,2
236,爱慕,2
237,明亮照耀,2
238,适得其所,2
239,凝聚,2
240,光亮的,2
241,平安,2
242,坚定,2
243,缔造,2
244,乐园,2
245,稳固,2
246,讨人喜欢,2
247,确信,2
248,魔法,2
249,淳朴,2
250,丰富,2
251,有才智,2
252,中肯的,2
253,美好的,2
254,信用,2
255,欢腾的,2
256,胜过,2
257,正常,2
258,快乐主义,2
259,机灵的,2
260,贵重,2
261,升起,2
262,有价值,2
263,善说服,2
264,欢喜的,2
265,有益於健康,2
266,安身立命,2
267,大无畏,2
268,壮丽雄伟的,2
269,有责任的,2
270,便利的,2
271,有帮手的,2
272,引以为傲,2
273,调停,2
274,解除,2
275,友爱,2
276,赞同,2
277,使平静下来,2
278,欢呼,2
279,易理解的,2
280,完成的,2
281,全力,2
282,精通,2
283,不自私,2
284,无裂缝的,2
285,真爱,2
286,尽情,2
287,精选,2
288,富裕,2
289,正统,2
290,威严的,2
291,中和,2
292,意气风发,2
293,心满意足地注视,2
294,侠义的,2
